id,template_id,item_num,kind,object_def_id,ref_template_id,slot_name,repeat_expr,drawing_num,parent_item_num,parent_item_num2,pos_x_expr,pos_y_expr,pos_z_expr,rot_x_expr,rot_y_expr,rot_z_expr,params_json,visibility_json,misc_json,enabled_expr
1,1,1,OBJECT,3,,CYLINDRE,,1,,,0,0,0,90,0,0,"{""A"":""30"",""B"":""100""}",{},"{""LAYER"":""DRY_SYMBOL"",""R"":150,""G"":150,""B"":150}",1
2,1,2,OBJECT,4,,CONE,,1,,,0,0,local(1).B,90,0,0,"{""A"":""75"",""B"":""50""}",{},"{""LAYER"":""DRY_SYMBOL"",""R"":150,""G"":150,""B"":150}",1
3,2,1,OBJECT,2,,PLAQUE,,1,,,0,0,0,0,0,0,"{""A"":""options.moduleSizeA"",""B"":""options.moduleSizeB"",""C"":""options.moduleSizeC""}",{},"{""LAYER"":""DRY_CORPS"",""R"":200,""G"":200,""B"":200,""BIM_MATERIAUX"":""C_GALVA""}",1
4,2,2,OBJECT,3,,CYLINDRE,,1,,,0,0,local(1).pz + local(1).C/2,90,0,0,"{""A"":""options.gmv_radius"",""B"":""options.gmv_height""}",{},"{""LAYER"":""DRY_CORPS"",""R"":150,""G"":150,""B"":150,""BIM_MATERIAUX"":""C_9005""}",1
5,2,3,TEMPLATE_REF,,1,fleche,,1,,,0,0,local(2).pz+ local(2).B + 75,0,0,0,{},{},{},1
6,3,1,OBJECT,2,,PLAQUE,,1,,,0,0,0,0,0,0,"{""A"":""options.moduleSizeA"",""B"":""options.moduleSizeB"",""C"":""options.moduleSizeC""}",{},"{""LAYER"":""DRY_CORPS"",""R"":200,""G"":200,""B"":200,""BIM_MATERIAUX"":""C_GALVA""}",1
7,3,2,OBJECT,3,,CYLINDRE,,1,,,0,0,local(1).pz - local(1).C/2,-90,0,0,"{""A"":""options.gmv_radius"",""B"":""options.gmv_height""}",{},"{""LAYER"":""DRY_CORPS"",""R"":150,""G"":150,""B"":150,""BIM_MATERIAUX"":""C_9005""}",1
8,3,3,TEMPLATE_REF,,1,fleche,,1,,,0,0,local(1).pz + local(1).C/2 +75,0,0,0,{},{},{},1
9,4,1,OBJECT,2,,PLAQUE,,1,,,0,0,0,0,0,0,"{""A"":""options.moduleSizeA"",""B"":""options.moduleSizeB"",""C"":""options.moduleSizeC""}",{},"{""LAYER"":""DRY_CORPS"",""R"":200,""G"":200,""B"":200,""BIM_MATERIAUX"":""C_GALVA""}",1
10,4,2,OBJECT,3,,CYLINDRE,,1,,,0,local(1).p + local(1).B/4,local(1).pz + local(1).C/2,90,0,0,"{""A"":""options.gmv_radius"",""B"":""options.gmv_height""}",{},"{""LAYER"":""DRY_CORPS"",""R"":150,""G"":150,""B"":150,""BIM_MATERIAUX"":""C_9005""}",1
10,4,3,OBJECT,3,,CYLINDRE,,1,,,0,local(1).p - local(1).B/4,local(1).pz + local(1).C/2,90,0,0,"{""A"":""options.gmv_radius"",""B"":""options.gmv_height""}",{},"{""LAYER"":""DRY_CORPS"",""R"":150,""G"":150,""B"":150,""BIM_MATERIAUX"":""C_9005""}",1
11,4,4,TEMPLATE_REF,,1,fleche,,1,,,0,0,local(2).pz+ local(2).B + 75,0,0,0,{},{},{},1
,5,1,OBJECT,2,,PLAQUE,,1,,,0,0,0,0,0,0,"{""A"":""options.moduleSizeA"",""B"":""options.moduleSizeB"",""C"":""options.moduleSizeC""}",{},"{""LAYER"":""DRY_CORPS"",""R"":200,""G"":200,""B"":200,""BIM_MATERIAUX"":""C_GALVA""}",1
,5,2,OBJECT,3,,CYLINDRE,,1,,,0,local(1).p + local(1).B/4,local(1).pz - local(1).C/2,-90,0,0,"{""A"":""options.gmv_radius"",""B"":""options.gmv_height""}",{},"{""LAYER"":""DRY_CORPS"",""R"":150,""G"":150,""B"":150,""BIM_MATERIAUX"":""C_9005""}",1
,5,3,OBJECT,3,,CYLINDRE,,1,,,0,local(1).p - local(1).B/4,local(1).pz - local(1).C/2,-90,0,0,"{""A"":""options.gmv_radius"",""B"":""options.gmv_height""}",{},"{""LAYER"":""DRY_CORPS"",""R"":150,""G"":150,""B"":150,""BIM_MATERIAUX"":""C_9005""}",1
,5,4,TEMPLATE_REF,,1,fleche,,1,,,0,0,local(1).pz+ local(1).C/2 + 75,0,0,0,{},{},{},1
,6,1,TEMPLATE_REF,,2,modules_SHI,,1,,,0,0,0,0,0,0,{},{},,
,7,1,TEMPLATE_REF,,2,modules_SHI,,1,,,0,0,0,0,0,0,{},{},{},1
,7,2,TEMPLATE_REF,,2,modules_SHI,,1,,,local(1).px + local(1).A,0,0,0,0,0,{},{},{},1
,8,1,TEMPLATE_REF,,2,modules_SHI,,1,,,0,0,0,0,0,0,{},{},{},1
